data,crc
"{'event_time': '2023-10-17T09:53:05.801Z', 'weight': 0.0}",2772127092
"{'event_time': '2023-10-17T09:53:06.784Z', 'weight': 0.0}",1016766575
"{'event_time': '2023-10-17T09:53:19.804Z', 'weight': 0.0}",443631452
"{'event_time': '2023-10-17T09:53:20.783Z', 'weight': 0.0}",1112905041
"{'event_time': '2023-10-17T09:53:21.791Z', 'weight': 0.0}",3371516466
"{'event_time': '2023-10-17T09:53:22.799Z', 'weight': 0.0}",3081856650
"{'event_time': '2023-10-17T09:53:23.787Z', 'weight': 0.0}",3721961870
"{'event_time': '2023-10-17T09:53:24.795Z', 'weight': 0.0}",3132228759
"{'event_time': '2023-10-17T09:53:25.803Z', 'weight': 0.0}",146048906
"{'event_time': '2023-10-17T09:53:26.780Z', 'weight': 0.0}",214524290
"{'event_time': '2023-10-17T09:54:18.792Z', 'weight': 0.0}",1890893671
"{'event_time': '2023-10-17T09:54:19.800Z', 'weight': 0.0}",735719832
"{'event_time': '2023-10-17T09:54:20.807Z', 'weight': 0.0}",2721102345
"{'event_time': '2023-10-17T09:54:21.815Z', 'weight': 0.0}",680553834
"{'event_time': '2023-10-17T09:54:22.795Z', 'weight': 0.0}",2411400651
"{'event_time': '2023-10-17T09:54:23.803Z', 'weight': 0.0}",1035833046
"{'event_time': '2023-10-17T09:54:24.810Z', 'weight': 0.0}",2369104791
"{'event_time': '2023-10-17T09:54:25.818Z', 'weight': 0.0}",535256262
"{'event_time': '2023-10-17T09:54:26.795Z', 'weight': 0.0}",2414324824
"{'event_time': '2023-10-17T09:56:34.833Z', 'weight': 0.0}",1891792378
"{'event_time': '2023-10-17T09:56:35.824Z', 'weight': 0.0}",3303550755
"{'event_time': '2023-10-17T09:56:36.835Z', 'weight': 0.0}",8957184
"{'event_time': '2023-10-17T09:56:37.823Z', 'weight': 0.0}",1665169281
"{'event_time': '2023-10-17T09:56:38.834Z', 'weight': 0.0}",974724100
"{'event_time': '2023-10-17T09:56:39.845Z', 'weight': 0.0}",2546782235
"{'event_time': '2023-10-17T09:56:40.855Z', 'weight': 0.0}",1484355032
"{'event_time': '2023-10-17T09:56:41.828Z', 'weight': 0.0}",358984096
